rank,team,score
1,Luca,1398.2
2,palsystem,1297.8
3,Unown Gradiant,1280.5
4,flg,1266.1
5,Petit Canard,1257.3
6,KawattaTaido,1229.5
7,LumenLiquidity,1226.6
8,やる気元気ミワハルキ,1214.2
9,Rmy,1200.0
10,Azat Akhtyamov,1195.3
11,e-toppo + kurupical,1194.8
12,Majkel1337,1186.4
13,LiamK,1186.3
14,Preferred 213tubo,1182.7
15,李秉叡（ntumlnoob）,1178.0
16,James Cox & Henry Chao,1167.0
17,goonew,1164.6
18,Klein Houmani,1162.4
19,@kdcyberdude,1161.5
20,Sixth Sense,1157.3
21,MissingNo.,1152.9
22,熱異常,1134.8
23,Oshbocker,1130.9
24,Boss's Orders Are All You Need,1128.5
25,sadwat,1128.0
26,perrodawn,1123.7
27,ANDPAD kaggler team,1123.2
28,nasuo445,1115.6
29,Thai,1115.0
30,EliKal & greySnow,1114.9
31,Yopta,1113.7
32,Raihan Ramadistra,1111.6
33,hatry,1104.6
34,Xiangyu Liu,1101.4
35,bono,1101.2
36,Eason0203,1094.3
37,AlphaTCG,1093.7
38,Kh0a,1088.7
39,Budew,1085.6
40,M Sato,1085.2
41,カントー地方マスター(KantoRegionMaster),1084.6
42,Lunariz,1079.3
43,matsurih,1078.0
44,stardom,1077.3
45,No Free MIST Energy,1074.9
46,THIRD PTCG Club,1074.5
47,Latios17,1074.3
48,trust the process,1067.6
49,__Taichicchi__,1066.1
50,NguyenThanhNhan,1059.7
51,Team KASA.,1056.6
52,Pokemon Siuuuu,1055.8
53,2WINS,1052.0
54,Ken Zhou,1051.6
55,Yi-Chia Chen,1048.8
56,MTamago,1048.6
57,PP kawada,1047.8
58,ゴウカザル,1045.8
59,ONE PIECE,1044.3
60,pikachu,1043.3
61,Nap Is All You Need,1043.3
62,Jonathan Coletti,1043.3
63,Ayanokoji Fan Club,1043.0
64,vvs,1043.0
65,S4nkurero,1042.7
66,SQUIRTLE (prime),1042.5
67,BarrelAged,1041.9
68,Roman Stupin,1041.9
69,齐乐,1040.9
70,"B. von Meijenfeldt, E. Mesman",1040.3
71,motono0223,1039.7
72,ShumpeiNomura,1038.1
73,poppy457,1037.6
74,Louis & Emile,1037.4
75,Dominic Peel & Rory Neville,1037.1
76,pokemon master,1036.3
77,celebi,1036.0
78,tennogh,1035.7
79,Dakuma,1035.5
80,Dries @ Tufa Labs,1032.7
81,insuperabilehart,1031.8
82,yalee,1029.8
83,Jack,1028.3
84,Mew World Order,1027.6
85,pokemon,1025.4
86,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1025.3
87,しんぴのしずく💧,1022.5
88,蚌埠住了,1022.2
89,da da,1021.9
90,aaa,1019.7
91,{{ team_name }} 🏆,1019.5
92,cocosu3434,1018.5
93,denden12,1017.4
94,NorthStar,1017.1
95,Egypt first class,1017.0
96,yumizu,1016.5
97,DavidFreelan,1016.4
98,miya,1016.2
99,typeIIIfairy,1015.8
100,HCRL,1015.8
101,HSBMAX,1015.6
102,想要成为kaggle大师,1015.2
103,Pokémon Day Care,1014.9
104,kanno,1014.5
105,Brahim,1013.0
106,人入乂乂人入入乂人,1012.5
107,Ars Noveau,1012.2
108,宝糕手(Poké Messters),1011.9
109,vibechu,1011.8
110,kwa,1011.4
111,あなまか,1011.1
112,Iliamna,1010.1
113,Hiro Nomo,1010.0
114,RtoABC,1008.9
115,monnosuke,1007.5
116,kentaro_kato,1006.7
117,Meghana284,1006.6
118,Alan_Nasibullin,1005.5
119,Pokemon Fan,1005.0
120,szlachetny snieg,1004.7
121,MarineYY,1003.4
122,Pokér-man,1003.1
123,kk.13kk,1001.1
124,Saber,1000.5
125,tamakiken_OB,1000.1
126,rmizuta,999.8
127,PokeMiniMax,999.8
128,Hiroki Yamazaki,999.3
129,Funky,999.2
130,KatR,999.2
131,cununn,998.4
132,SantaClaws,998.1
133,fishcat,997.8
134,ttmn,997.6
135,dasfds,995.2
136,Charmander & Meowth,995.0
137,qb,994.3
138,cabbage patch,993.8
139,Make it double!,993.5
140,GUOHAOYANG,993.2
141,Octavi Grau,992.6
142,clora,991.9
143,Team Rot-Weiß,991.5
144,⊂( ᴖ ̫ᴖ)⊃ ⊂(ᴖ ̫ᴖ )⊃,991.1
145,Canon,990.0
146,haggle,989.9
147,哈基米南北绿豆,988.6
148,syuuuuu,986.9
149,copasta,986.6
150,"Pikachu, I choose you!",986.5
151,Mega Regigigas,986.0
152,Team,985.6
153,loIzpo + emonga,984.7
154,Benarg,984.6
155,wally0593,984.5
156,koala_bear,984.0
157,NIWATORI,983.8
158,Abhyuday + Sebastian,983.8
159,lollipop947,983.6
160,Agent 33,983.4
161,ei1333,982.4
162,mojyaP,982.4
163,kkanayj,981.2
164,Tony Li,981.0
165,Ant,980.9
166,kusui26,980.7
167,JZ,980.2
168,Slopémon,980.1
169,Oleksandr_Savsunenko,978.4
170,Roman Nesterov,978.2
171,stnick,978.2
172,☕ Psyduck Needs Coffee,977.2
173,Boseiju,976.9
174,Evgeniy Zdoronok,976.8
175,masspeaks,976.5
176,carbonapi,975.5
177,junjun,975.3
178,DECEM,974.8
179,"kenkoooo @ estie, inc.",974.7
180,🫣🤧,973.9
181,surprised pikachu,973.2
182,NiuNiu,972.9
183,Dragonite,972.8
184,Pokopia,972.8
185,gecogeco,972.5
186,GPT-5.6 Sol🏆,971.0
187,Kusanagi,970.9
188,hinox13,970.0
189,Gijs Smit,970.0
190,tokimashita,969.7
191,less,969.3
192,YumeNeko,968.8
193,blue_house,968.5
194,BOB,968.5
195,Where is my orbit,968.4
196,Shardul Gharat,968.2
197,Lennox,968.2
198,Zhu Liang,968.0
199,redblackbst,967.3
200,Breaking1800,966.9
201,Gyoukou,966.8
202,chris,966.3
203,llkarill,966.3
204,atsushi11o7,965.0
205,Komil Parmar,965.0
206,Priestess,964.7
207,namopanda,964.4
208,JovanaLab,964.4
209,パチリス,963.6
210,keithtyser,963.0
211,giacomovin,962.7
212,bonsai,962.7
213,msd0110,962.1
214,tetsu2131,961.7
215,Skyraider,961.2
216,Yigit Kayali,961.1
217,neuro168,960.9
218,Jonathan Donham,960.1
219,nsytsqdtn,960.1
220,Shang Bo,959.7
221,西松大祐,959.2
222,Urazalinov Baurzhan,959.0
223,Mahog,958.6
224,H. Ashida,958.5
225,TMTA,958.1
226,Hi Im Ryo,958.1
227,Mega LayerEX,957.4
228,maco-macoo,957.4
229,Magist,957.3
230,soraemon,957.0
231,Nghia Tran + ketchum alt,956.8
232,sokilya,955.8
233,隔壁老王,955.6
234,tw_shin,955.3
235,Запрети мне брать H100,955.0
236,titako0000,954.8
237,POKEN,953.4
238,Prism,953.1
239,那个男人,953.0
240,akmr,952.7
241,Arthurs Torres24,952.2
242,Otter Vibe,951.9
243,Mint120,951.5
244,GrimmsnaRL,951.0
245,Tarang222,950.9
246,yu9824,950.8
247,Dustin Rubin,950.5
248,takusemba,950.4
249,BluesLee,949.5
250,syouya tobita,948.3
251,soyukke,948.2
252,Rikito Kanda,947.3
253,OiOi-Poke,946.6
254,youtube.com/@BigBugginnings,946.5
255,Can,945.9
256,suguuuuu & hiehie,945.9
257,tc-al,945.5
258,beeyan,945.3
259,Yaroslav,945.2
260,kashiwashira,945.2
261,What Lucario,944.9
262,Oleh Patsan,944.8
263,AReg,944.5
264,alexstatyg,944.2
265,cm391,944.2
266,aca-ta,943.4
267,kiyomiya-k,942.6
268,haruto,942.5
269,KanaeKanae,942.4
270,yuto083,941.9
271,Fitalabs,941.8
272,ВМКЗАРДЫ,941.2
273,senkin13,940.9
274,Shuhan Yang,940.8
275,keidroid,940.2
276,Junichiro Morita,940.0
277,PikaBoom,939.7
278,arai9953,939.7
279,togakyo,939.5
280,StackKnight,939.5
281,base_camp_2002,939.2
282,The Blos,938.7
283,luck is all agent needs,938.6
284,Nikita Romanenko,938.4
285,浅田浩一,938.2
286,Snorlax,937.7
287,Katasonov Evgeny,936.4
288,Pushu?,936.3
289,tedo,936.2
290,Konstantin Zhar,935.2
291,control the variance,934.9
292,takayosi,934.6
293,Jose Coronel,934.4
294,Michael Long,934.2
295,yaki-imo,933.8
296,motemen,933.7
297,john jiang zhifeng,932.7
298,Team Rocket,932.7
299,jiatu.l,932.5
300,Yuya_ViVi,932.4
301,lll,932.4
302,Confusion,932.3
303,tyffee,932.2
304,你好哇,932.2
305,LaM,932.1
306,ETHAN KOH,931.6
307,t-enstar,931.5
308,J.Moriuchi,931.3
309,Ochir Dorzhiev,931.1
310,lmaffei,931.0
311,Seasaw,930.9
312,Juyong,930.7
313,pokuman,930.7
314,Pikachu out,930.2
315,ykhnkf,930.1
316,hatata,929.8
317,mitomeat823,929.4
318,Vermillion City Pikachu,929.4
319,sobameshi,929.2
320,wuyufan,928.2
321,tktkyamyam,928.1
322,Maciej Sypetkowski,928.1
323,Eamonn Kashyap,928.1
324,zhan renyi,927.8
325,six seven,927.6
326,wkonishi,927.4
327,Jeryos,927.4
328,Yudai Ueno,927.1
329,chiki-chiki,927.0
330,山上海賊団,926.6
331,The Bitter Lesson,926.6
332,seven,926.5
333,Alexander,926.4
334,Pokkén,926.3
335,HD h Joratos,926.2
336,Ilia Iliev,926.0
337,懒惰的金枪鱼,925.9
338,GuerillaMoon,924.9
339,Reinforce Pokemons,924.4
340,shaoyiming123,924.0
341,kurigen,923.9
342,KouFu,923.9
343,Masatoshi Hidaka,923.8
344,djschmit,923.7
345,Rare Candy Lab 🍬,923.3
346,MoriBob,923.2
347,monisoi,922.8
348,huaiyuyoung,922.8
349,RL or RULE,922.7
350,Jimmer,922.5
351,Sheehan Brothers,922.5
352,neibyr,922.4
353,SORA,922.3
354,Masaruto,922.3
355,ZETADIVISION,922.0
356,4418,922.0
357,Timmy Juicehouse,921.7
358,tangai1,921.6
359,saeNeko,921.5
360,nashu,921.4
361,Pokésonic,921.2
362,tttzof351,921.1
363,shyjin,920.8
364,keita,920.4
365,MORIOKA Tsuoi,920.4
366,Roy Pidril,919.7
367,Magikarp,919.2
368,Umataro Tenma,919.1
369,zcy,918.9
370,Togawa Sakiko,918.9
371,Max Replays,918.4
372,共逐荣光,918.2
373,pengyixiang,918.1
374,好一个随机漫步,917.5
375,MAJ0RT0M,917.2
376,Kyoungwon Jeong,917.2
377,liuliuliu0601,917.1
378,SoichiOzaki,916.8
379,zzholo,916.7
380,Kosmostars,916.7
381,pztriatomic,916.5
382,Royce Smart,916.3
383,pokewaves,916.1
384,ahahaha variance,916.0
385,tempjohn,916.0
386,BC+,915.9
387,Samuel Sundararaman ,915.9
388,Dragon Ball Z,915.9
389,Corgi-Samoyed,915.6
390,AMOONGUSS,915.0
391,Changyuan Chen,914.5
392,The Debauchery Tea Party,914.4
393,【ＡＩと共に、ＡＩと戦う】tubotu,914.0
394,iwashi,913.6
395,Bửu Phạm Quốc,913.1
396,EUGENEYEUNG,912.9
397,JS,912.8
398,forest2026,912.7
399,mealck,912.7
400,Takaaki Matsuda,912.6
401,magusi,912.4
402,LoveB4Sunrise,912.3
403,yuji y,911.9
404,Zachary Zhang,911.8
405,Latte,911.6
406,Will win?,911.5
407,I4Kaggle,911.3
408,onick_man,910.7
409,MG,910.4
410,tera358,909.9
411,Jeffrey Pike,909.5
412,akzw,909.5
413,yomogii,908.9
414,Concord_k(食饭master),908.8
415,kokun syu,908.8
416,gamesu7107,908.6
417,goh,908.5
418,Kilupy,908.1
419,Gaurav Goswami,908.1
420,ropeadope,907.8
421,Rafael,907.6
422,Articuno0144,907.4
423,Ash Kecap,907.3
424,MPGaming,906.9
425,CodeAmansa,906.7
426,ドラパルド使わない同盟,906.4
427,[RU] Kirill Makhankov,906.3
428,Bianco Chiu,905.8
429,gogogozi migimimi,905.8
430,Gemini ch.,905.7
431,Tm-ACCS,905.5
432,Sou Hano,905.1
433,sk1012,904.9
434,guruguru000,904.2
435,kigasudayooo,904.1
436,MtN,903.6
437,Shu Kato,903.2
438,kawhi0.0,903.2
439,luwulaoyabohomosugai,902.7
440,Nagahama Toda,902.4
441,yoshitaka agent,902.4
442,kirito83,902.2
443,Baltsat,901.6
444,amaotone,901.3
445,Sakito Horie,901.1
446,Clement Lau,900.9
447,皮卡西@北京乐一,900.8
448,Kaileh57,900.6
449,Aurora wy,900.6
450,Syed Saad Hasan Emad,900.4
451,Leonardo Viola10,900.4
452,Ziyang Luo,900.3
453,ヌメルゴンex,899.9
454,EricYang03,899.5
455,philip next,899.3
456,T.Suzuki,899.2
457,doctorw,899.2
458,jamm1412,899.0
459,Challengestone,898.8
460,zhangsan1224789,898.4
461,Shelgon,898.4
462,低消650元任你吃啊,898.4
463,mtskggle,897.9
464,squirtles,897.2
465,tokk,897.2
466,full-auto agent,897.2
467,Davi Ferreira,897.1
468,Kento Umeda,896.9
469,joinus,896.6
470,T.Uehira,896.6
471,Seho.Connect,896.4
472,Kyuhwan Cho,895.9
473,AdrianWang2003,895.9
474,Maxim Simakov,895.3
475,Ash Ketchum,895.3
476,Pathetic384,895.0
477,Orin,894.9
478,DON,894.7
479,Metagross AI,894.6
480,Erik van de Ven,894.1
481,Grace7523,893.8
482,codex team,893.7
483,AlphaKarpZero,893.3
484,Kohecchi,893.2
485,PPPPPPO,893.0
486,Yam,892.8
487,Powerful Hand Club,892.1
488,Vadim Vasilenko,892.1
489,ToastUz,891.9
490,Xxbozohead,891.7
491,porply,891.5
492,Aji Samudra,890.4
493,hukuda222,890.4
494,rotto,890.3
495,tsukammo,890.3
496,Chua Zheng Wei Brian,890.0
497,K.Yoshida,889.6
498,DarkLayer,889.3
499,Yan,888.9
500,Tim2006,888.7
501,Scio,888.7
502,Civitasmass,888.6
503,Pokémon-team17,888.5
504,luck issue,888.1
505,aki,887.8
506,Let's PK,887.7
507,PKMN Trainers L & Brando,887.4
508,Tatsuya Kayama,887.2
509,Algorithm Supernova,886.9
510,shosemaru,886.9
511,NoOneAhead,886.7
512,Teolian,886.6
513,flxwld,886.4
514,kojingbo,885.8
515,himatani,885.7
516,土佐黒潮共和国,885.4
517,Kotaro OKUYAMA,885.3
518,satofi,885.3
519,DittleDev,884.8
520,SoundSourceSeparation,884.7
521,YIN,884.6
522,Nicolas Gomasjaya,884.5
523,pikapika,884.5
524,yu_w,884.4
525,Bozo Boys,884.4
526,MahLong,884.3
527,keiz,884.1
528,Skyra,883.8
529,PKM Masters,883.8
530,David Mashiah,883.6
531,NoOne,883.6
532,YutoRagi,883.2
533,LULI24,883.0
534,Andreas Palmgren,882.8
535,Marine or others?,882.8
536,kazuki0123,882.8
537,Pika-Zard,882.6
538,fuga doggo,882.6
539,IPL,882.4
540,love machine,882.1
541,eierapfelxx&OYAMA,882.0
542,gemelom,881.8
543,Zatoichi,881.3
544,Roy Lo TW,881.2
545,Luon may Man,881.1
546,iwata hiroki,880.6
547,Vibe_Moon,880.4
548,すずき,880.3
549,Dreamer,880.1
550,S. B.,880.0
551,Matsu,880.0
552,rian,879.6
553,SamuelSanolume,878.7
554,Blacklions.,878.7
555,Dylan Xue,878.5
556,Kailee Hamre,878.4
557,Deng Xianghuai,878.0
558,h_noson,877.7
559,Faith Ogundimu,877.3
560,UBI=ISHI,877.1
561,a982295350,877.0
562,Lester Leong,877.0
563,x1angM,876.8
564,Lord Momo,876.4
565,Beyond,876.3
566,koga_poke,876.3
567,Direc M,876.3
568,Lemons,876.1
569,増殖するG,876.0
570,Arti-fish-ial Intelligence,875.9
571,jneums,875.7
572,OceanMix,875.4
573,Never quit,875.1
574,Yuki Yanagi,874.7
575,pino 70122,874.5
576,Ocyedwin,874.5
577,대여르,874.2
578,Senn88,873.8
579,ZZDirty,873.7
580,Kaikaku,873.4
581,ポケカ前線,872.8
582,Pascal Pfeiffer,872.7
583,warabimochi-king,872.6
584,Souya__1234,872.3
585,Peng Wang,872.1
586,Asa-sotta ,872.0
587,A. R. SEKKAT,871.8
588,Blu3s & Ausrine,871.1
589,Seungjun Lee,871.0
590,Rocket is All You Need,870.9
591,Copandon,870.9
592,Cappa,870.8
593,Chikuwabu,870.4
594,Yichen Ao,870.4
595,mintia-3433,870.0
596,Mark Cooper,869.9
597,ksew364,869.3
598,Dũng Đỗ,869.0
599,Andrew9603,868.7
600,We Only Played Red,868.3
601,Mikhail Karchevskiy,868.2
602,yamakawanin,868.2
603,rode,868.1
604,gachichan,868.1
605,ZHYW,867.8
606,黒田彩人,867.7
607,linjianrong,867.6
608,Rojiomote,866.7
609,Linguist Wants Tech,866.5
610,Marcha Watanabe,866.3
611,yjshyfy,866.3
612,hau_uah,866.2
613,ペンギン,865.8
614,Shaw Sebastian,865.7
615,Handry Novianto,865.6
616,AlphaMon,865.3
617,flaty,865.3
618,pokeca2018,865.1
619,Yoshihiko Suzuki,864.9
620,失忆的海_,864.5
621,ondy0705,863.6
622,Santiago Maniches,863.4
623,automatylicza,862.6
624,Yuto Muroshima,862.4
625,FlowerGarden,862.2
626,orbitalhex,861.4
627,Unreal Drip,860.9
628,Deck.csv,860.8
629,Castian Hans,860.8
630,Hosuke 火車阿羅漢@MUK,860.6
631,Joseph Adamski,860.6
632,takataok_42,860.5
633,deltaqbit6,860.5
634,sliver,860.4
635,lvisdd,860.4
636,Zippo,860.4
637,Kim Jinseo,860.4
638,Sebastian & Breno,860.3
639,kakuteki,860.3
640,MCH,860.1
641,SebaMG,859.9
642,Kirill Krasikov,859.5
643,Himi & Sato,859.5
644,Shadowfishes,859.4
645,Paritosh Kumar Tripathi,859.4
646,kazusw,858.8
647,wen chung yu,858.8
648,mararaa,858.6
649,Ryu Sonoda,858.6
650,MHIMDI Mouhib,858.1
651,minhtrix,857.7
652,maniackk,857.5
653,btk15049,857.5
654,Muheng,857.4
655,Taimo,857.3
656,oQo,857.0
657,Dennis Tran,857.0
658,Shengyuan Yin,856.8
659,Steven66886688,856.7
660,pi-500.phys,856.4
661,...,856.3
662,Shoko,856.2
663,Dandan Li,856.0
664,Attacker,855.9
665,yemaoye,855.8
666,Pachirisu,855.8
667,NSK,855.6
668,shg195,855.3
669,dai2,855.3
670,Cluckin-VV,855.1
671,Xander,854.9
672,Yuchuan Ding,854.7
673,f,854.7
674,No.3,854.4
675,cameronezrajones579,854.4
676,StrixM,854.4
677,Bulba-Zero,854.3
678,fujikawa ikuya,854.1
679,kings,853.9
680,s_a_ai_enginner,853.7
681,takaito,853.5
682,SHICHIES,853.5
683,Hajime Tamura,853.2
684,控制一些扫福瑞,853.1
685,C.Ronaldo,852.8
686,Yuta Yamazaki,852.7
687,r1ck.sync,852.3
688,xsong2020,851.7
689,KoshinM,851.5
690,Junhua Yang,851.4
691,ocotopus,851.3
692,TakahiroHon,851.0
693,S,850.6
694,Watary0927,850.5
695,shawnYiB,850.5
696,Xman,850.5
697,Yusuke Hayashi,850.3
698,史永刚,850.2
699,Ajay Sampath,850.0
700,Hitoshi Mochizuki,849.9
701,snowsapphire,849.9
702,Cam-Luan Truong,849.8
703,Pocket Arena,849.7
704,moya,849.7
705,MarKoz,849.7
706,xnryxd,849.6
707,JiMing Feng,849.5
708,Raffaello Tamagnini,849.2
709,Andrey Naymushin,849.1
710,Zenith Ye,849.1
711,monsaraida,849.1
712,eikichi,848.9
713,tensorlike,848.8
714,jjamppongmandu,848.8
715,sssskilo,848.7
716,saikyo,848.6
717,Suyash Verma 🏆,848.6
718,Will,848.4
719,Nekogami,848.4
720,victorvv,848.2
721,hayle60,848.0
722,Airプ,847.9
723,Banjo,847.8
724,RyoK,847.8
725,Vladi Ivanov,847.7
726,misc,847.7
727,бурмалдини (cifcifcifarrr-67),847.4
728,Bulbasaur,847.2
729,Gregers Rygg,847.0
730,Chipping Spearow,846.7
731,TMMT,846.7
732,Pokemon Garı Gacıyo,846.7
733,Surya Bhattiprol,846.7
734,matcha110,846.6
735,Kendamarron,846.6
736,xnx,846.5
737,One Turn Off Lethal,846.4
738,Gappy,846.3
739,POPCORN,846.3
740,omegapon,846.1
741,tamryow,846.0
742,XtraLearning,846.0
743,NolanBonhomme,845.8
744,pepe,845.7
745,Kaito Fukami,845.6
746,Tagir Analyzes,845.5
747,Igor V,845.5
748,Rostislav,845.5
749,Boltuzamaki,845.5
750,Gronk,845.4
751,kelin hf,845.3
752,Akio Furutsuka,844.9
753,mushikera,844.9
754,Hongxin Su,844.8
755,Darsh Sodani,844.5
756,tanadai,844.4
757,Tommy Mancino,844.3
758,TomoyaM,844.3
759,MIRAI LAB,844.2
760,Bungalow0,844.1
761,mamematcha,844.1
762,Matthew.lee010299,843.9
763,kohbanye,843.9
764,yuyutech(Genuine),843.6
765,Udit Jain #2,843.3
766,RMensinck,843.2
767,Swachhith B,843.2
768,tontya,843.2
769,hamuhei,842.7
770,kash2031,842.6
771,zard599,842.5
772,Reki,842.4
773,puraza,842.3
774,weihao huang2004,842.0
775,corelattice,841.8
776,yamamekko,841.5
777,probflun,841.5
778,Misha Shikhov,841.4
779,fractalbyte,841.2
780,Iadh Jarray,841.2
781,Zyy7390,840.9
782,Skibidi Six Seven,840.9
783,Victor @ Tufa Labs,840.9
784,yash bhaskar,840.7
785,rick11224,840.6
786,hikarimaru,840.6
787,HC Zen,840.1
788,Jay Shrivastava,840.1
789,Hanxiang Li,839.9
790,jbreezy,839.7
791,kami,839.5
792,KakuTakagawa,839.5
793,Ryo Takaki,839.5
794,fujiborozoukin,839.3
795,Aphrodite,839.3
796,hire me pls,839.2
797,Jordi Corbilla,838.8
798,Machine_e1,838.8
799,aknomura,838.8
800,lxh unbound,838.7
801,Shiner,838.5
802,藤田　佑,838.3
803,Ken_Ken_Pa,838.3
804,wycwbkmgs,838.3
805,LUCK???,837.6
806,Kazeneko,837.2
807,habakan,837.1
808,Jaywang,837.0
809,Dilyorbek Muhammadjonov,837.0
810,Elstir,836.9
811,len8487,836.8
812,GuGu-Field Team,836.8
813,cher112,836.4
814,MYOUCER,836.4
815,suk1yak1,836.2
816,Fususu,836.2
817,pokemon masters,835.7
818,Ankith Savio,835.7
819,Tyler Myers,835.6
820,Andrej Carpenter,835.6
821,ぴかぴ＠ポケカ,835.6
822,Nkosi Ndwandwe,835.5
823,be relaxed,835.5
824,Rockway Chen,835.2
825,Haumea,835.2
826,Supermercado,835.0
827,junfan shen,835.0
828,FabienDaniel,834.9
829,kuromoka,834.8
830,R_S_K,834.8
831,Rainfun,834.8
832,Bata09,834.8
833,f_u,834.8
834,sukeke,834.5
835,Veniamin Nelin,834.5
836,yuki0731,834.4
837,MYGEMER,834.3
838,Kyohei,834.3
839,poijio,834.1
840,Jonathan Simone,834.0
841,Foo,834.0
842,Voyager,834.0
843,wennan cao,833.9
844,ShiyiLIN0922,833.9
845,Ruko,833.9
846,Hirotaka Sugawara,833.6
847,Hyunsik Park,833.6
848,TFA Alliance,833.4
849,misaka12435,833.4
850,ZetX_Zephyr,833.3
851,鸽鸽257,833.2
852,Eggplanck,833.2
853,flop,833.0
854,mikelou1,833.0
855,Kun Zhang,832.9
856,CoorDi,832.9
857,kann,832.8
858,Baidalin Adilzhan [dsml.kz],832.8
859,Saulo Quiñones Góngora,832.7
860,DaoHe Liu,832.6
861,Yu Bo yuan,832.5
862,Aizat Kashapov,832.4
863,postrflux,832.2
864,LJL,832.0
865,Ty-Yuki,831.9
866,Cherie01,831.8
867,islet,831.8
868,Masashi Onda,831.6
869,SegPulse 锋析-Kaggle Autonomous,831.3
870,data_gardening_club,831.3
871,xamad,831.1
872,🐱KittenLeague🐱,831.1
873,miraiTDL,831.0
874,可抽奖的冰棒,830.9
875,Seiyo,830.9
876,AbhilashVJ,830.7
877,LinZihanAdam,830.6
878,auouer,830.6
879,WJui,830.6
880,Larps,830.5
881,Julian,830.5
882,Albert Wang,830.5
883,Scrafty,830.2
884,Ryusuke Oku,830.2
885,Yanxi Jiang,830.0
886,Capitaalgain,829.8
887,Kelvin,829.8
888,Iwa Iwa,829.6
889,PyJa,829.5
890,KentoKuri,829.5
891,pika pika pikachu,829.3
892,Sophie555,829.2
893,Simon Rüba,829.1
894,Manufactured Ideology,828.7
895,Stocks152,828.6
896,Dueye,828.6
897,sohasoha42,828.5
898,Tsuyoshi Suketomo,828.5
899,peeta pit,828.3
900,Daksh Bhalala,828.2
901,KiKi,828.2
902,Abhiraj Singh,828.1
903,Ömer Faruk Yüce,827.9
904,magu1234,827.8
905,mkgs,827.7
906,kernlst92,827.5
907,Arun #2,827.3
908,Larry,826.9
909,gawa0000,826.8
910,SAMOILOV MIKHAIL,826.8
911,李BCDEFGA,826.4
912,itsuki-data,826.3
913,from mlgang with love,826.3
914,gsc01,826.2
915,Subin An,826.1
916,Jake Grimes,825.8
917,Adastra,825.6
918,tianwen zhang1,825.5
919,NNMax,825.5
920,Jeffrey Saelee,825.5
921,Bocchieri Alberto,825.3
922,KYA,825.3
923,Ravindra,825.0
924,Team BlackBox,825.0
925,takaygiiiiiiii,825.0
926,near field,825.0
927,rmoooi,824.9
928,YasunagaTkcNkmr,824.9
929,pes_magic,824.9
930,pokAmon,824.8
931,Aleix López,824.7
932,Yinzi_Mike,824.7
933,AnyContext,824.4
934,波力海苔,824.2
935,Tara Labs,824.1
936,One Move Ahead,824.0
937,Dengzhe Hou,823.9
938,tine.sh agent,823.7
939,Xiaolei Lian,823.6
940,hoshippi,823.5
941,DovyDigital,823.4
942,hisatarosu,823.4
943,shiiin9,823.3
944,DL,823.3
945,theredbluepill,823.3
946,Manish Swami,823.2
947,Bocen Li,823.1
948,Lixin73,823.0
949,Topdecking is All You Need,823.0
950,shindannin,823.0
951,water joe,823.0
952,AidenSong123,823.0
953,WE LOVE KING CRIMSON,822.9
954,Amr Yasser,822.9
955,Murat Kolic,822.8
956,Addison Howard (ineligible),822.8
957,whatcanwedo,822.7
958,xi luo,822.6
959,Yang Jinneng,822.6
960,kaneko takafumi,822.4
961,VK,822.2
962,y_nakai390,822.2
963,sakaitt,822.0
964,EunchaeSong,822.0
965,Praxel,822.0
966,today,822.0
967,Wen Zixuan,821.8
968,Einbaum Von,821.8
969,IY,821.7
970,lyre lin,821.7
971,Kunal Aarse,821.6
972,ZeLong Leo,821.3
973,FC Crustacean,821.2
974,Codect,821.1
975,Ajishio,820.9
976,sqafu12,820.8
977,KiChang.Kim,820.8
978,Neko #2,820.8
979,Daikon99,820.7
980,Leolazz,820.7
981,No skill pure luck,820.6
982,mmwstudy,820.5
983,ganbaranzoiya,820.4
984,Elooquence,820.3
985,Thomas #2,820.1
986,mgoto51004,820.1
987,Mohamed Amine Aichaoui,820.0
988,ISW,819.9
989,Zikai Chen,819.8
990,AmadeusAN,819.7
991,one2ndpiece,819.6
992,Miguel-jp,819.6
993,Flying Banana,819.5
994,Anhad Mahajan,819.5
995,shiratama,819.4
996,brave-心勇-heart,819.4
997,nmdcddwzml,819.3
998,Ivan Aleksandrov,819.2
999,Sijin Yu,819.2
1000,Junichi Saigou,818.8
1001,TalentAI,818.8
1002,payanotty,818.8
1003,Pascal,818.7
1004,yasu,818.2
1005,Thái Văn Tài,818.2
1006,pardival,818.0
1007,RicardoLópez,818.0
1008,paistieco,817.9
1009,Bo Peng,817.7
1010,fredpk,817.6
1011,MMA,817.2
1012,Kirderf,817.0
1013,Haokai Ding,816.8
1014,gakki,816.7
1015,tomo11111,816.4
1016,StephenNedumpally,816.4
1017,Sans Mike,816.4
1018,takumina,816.3
1019,Yusuraume,816.3
1020,Yan Hu,816.3
1021,Yuta,816.3
1022,CMK,816.2
1023,manase0,816.1
1024,mexlora,815.9
1025,Fumi,815.8
1026,HireMe,815.6
1027,Pika Pika,815.5
1028,Ramazan Turan,815.4
1029,Virexon,815.1
1030,toufumind,815.0
1031,nishikawa,814.8
1032,小陈同学,814.8
1033,結束バンド,814.7
1034,Orion,814.7
1035,static,814.5
1036,cornwall,814.5
1037,YYY,814.4
1038,BackFiring,814.4
