  dragapult   wr=0.250 (5-15-0) err=0 [0.63s/g] stats={'planned': 648, 'fired': 29, 'bail': 0, 'errors': 0}
  dragapult   wr=0.250 (5-15-0) err=0 [0.62s/g] stats={'planned': 722, 'fired': 24, 'bail': 0, 'errors': 0}
  dragapult   wr=0.200 (4-16-0) err=0 [0.66s/g] stats={'planned': 735, 'fired': 20, 'bail': 0, 'errors': 0}
  dragapult   wr=0.150 (3-17-0) err=0 [0.44s/g] stats={'planned': 525, 'fired': 17, 'bail': 0, 'errors': 0}
  dragapult   wr=0.200 (4-16-0) err=0 [0.73s/g] stats={'planned': 723, 'fired': 27, 'bail': 0, 'errors': 0}
  dragapult   wr=0.100 (2-18-0) err=0 [0.47s/g] stats={'planned': 590, 'fired': 14, 'bail': 0, 'errors': 0}
  dragapult   wr=0.250 (5-15-0) err=0 [0.43s/g] stats={'planned': 570, 'fired': 17, 'bail': 0, 'errors': 0}
  dragapult   wr=0.100 (2-18-0) err=0 [0.70s/g] stats={'planned': 784, 'fired': 30, 'bail': 0, 'errors': 0}
  dragapult   wr=0.200 (4-16-0) err=0 [0.59s/g] stats={'planned': 702, 'fired': 21, 'bail': 0, 'errors': 0}
  dragapult   wr=0.200 (4-16-0) err=0 [0.50s/g] stats={'planned': 638, 'fired': 24, 'bail': 0, 'errors': 0}
