  dragapult   wr=0.100 (2-18-0) err=0 [0.36s/g] stats={'planned': 596, 'fired': 15, 'bail': 0, 'errors': 0}
  dragapult   wr=0.300 (6-14-0) err=0 [0.57s/g] stats={'planned': 791, 'fired': 22, 'bail': 0, 'errors': 0}
  dragapult   wr=0.200 (4-16-0) err=0 [0.51s/g] stats={'planned': 717, 'fired': 13, 'bail': 0, 'errors': 0}
  dragapult   wr=0.100 (2-18-0) err=0 [0.47s/g] stats={'planned': 658, 'fired': 35, 'bail': 0, 'errors': 0}
  dragapult   wr=0.250 (5-15-0) err=0 [0.31s/g] stats={'planned': 554, 'fired': 12, 'bail': 0, 'errors': 0}
  dragapult   wr=0.200 (4-16-0) err=0 [0.59s/g] stats={'planned': 797, 'fired': 25, 'bail': 0, 'errors': 0}
  dragapult   wr=0.300 (6-14-0) err=0 [0.52s/g] stats={'planned': 742, 'fired': 23, 'bail': 0, 'errors': 0}
  dragapult   wr=0.250 (5-15-0) err=0 [0.56s/g] stats={'planned': 779, 'fired': 26, 'bail': 0, 'errors': 0}
  dragapult   wr=0.200 (4-16-0) err=0 [0.51s/g] stats={'planned': 713, 'fired': 26, 'bail': 0, 'errors': 0}
  dragapult   wr=0.200 (4-16-0) err=0 [0.48s/g] stats={'planned': 686, 'fired': 21, 'bail': 0, 'errors': 0}
