  archaludon  wr=0.050 (1-19-0) err=0 [72s, 3.58s/game] stats={'checked': 1038, 'doomed': 120, 'fired': 28, 'errors': 0}
  archaludon  wr=0.250 (5-15-0) err=0 [48s, 2.38s/game] stats={'checked': 991, 'doomed': 79, 'fired': 27, 'errors': 0}
  archaludon  wr=0.150 (3-17-0) err=0 [40s, 2.02s/game] stats={'checked': 946, 'doomed': 78, 'fired': 26, 'errors': 0}
  archaludon  wr=0.100 (2-18-0) err=0 [70s, 3.48s/game] stats={'checked': 1221, 'doomed': 156, 'fired': 41, 'errors': 0}
  archaludon  wr=0.050 (1-19-0) err=0 [52s, 2.62s/game] stats={'checked': 1086, 'doomed': 95, 'fired': 28, 'errors': 0}
  archaludon  wr=0.250 (5-15-0) err=0 [61s, 3.06s/game] stats={'checked': 1171, 'doomed': 128, 'fired': 35, 'errors': 0}
  archaludon  wr=0.150 (3-17-0) err=0 [68s, 3.42s/game] stats={'checked': 1304, 'doomed': 127, 'fired': 28, 'errors': 0}
  archaludon  wr=0.250 (5-15-0) err=0 [53s, 2.66s/game] stats={'checked': 1269, 'doomed': 69, 'fired': 49, 'errors': 0}
  archaludon  wr=0.300 (6-14-0) err=0 [41s, 2.03s/game] stats={'checked': 1018, 'doomed': 63, 'fired': 28, 'errors': 0}
  archaludon  wr=0.300 (6-14-0) err=0 [42s, 2.11s/game] stats={'checked': 1094, 'doomed': 68, 'fired': 17, 'errors': 0}
