  dragapult   wr=0.250 (5-15-0) err=0 [20s, 1.02s/game] stats={'checked': 657, 'doomed': 19, 'fired': 14, 'errors': 0}
  dragapult   wr=0.250 (5-15-0) err=0 [23s, 1.14s/game] stats={'checked': 765, 'doomed': 15, 'fired': 12, 'errors': 0}
  dragapult   wr=0.100 (2-18-0) err=0 [23s, 1.17s/game] stats={'checked': 729, 'doomed': 19, 'fired': 11, 'errors': 0}
  dragapult   wr=0.050 (1-19-0) err=0 [20s, 1.01s/game] stats={'checked': 675, 'doomed': 10, 'fired': 10, 'errors': 0}
  dragapult   wr=0.100 (2-18-0) err=0 [18s, 0.88s/game] stats={'checked': 671, 'doomed': 4, 'fired': 1, 'errors': 0}
  dragapult   wr=0.050 (1-19-0) err=0 [18s, 0.89s/game] stats={'checked': 680, 'doomed': 4, 'fired': 3, 'errors': 0}
  dragapult   wr=0.250 (5-15-0) err=0 [18s, 0.92s/game] stats={'checked': 721, 'doomed': 11, 'fired': 7, 'errors': 0}
  dragapult   wr=0.100 (2-18-0) err=0 [20s, 0.98s/game] stats={'checked': 721, 'doomed': 9, 'fired': 5, 'errors': 0}
  dragapult   wr=0.350 (7-13-0) err=0 [22s, 1.10s/game] stats={'checked': 782, 'doomed': 12, 'fired': 10, 'errors': 0}
  dragapult   wr=0.100 (2-18-0) err=0 [19s, 0.95s/game] stats={'checked': 724, 'doomed': 18, 'fired': 11, 'errors': 0}
