  mirror_chq  wr=0.850 (17-2-1) err=0 [1.18s/g] stats={'planned': 1256, 'fired': 64, 'bail': 0, 'errors': 0}
  mirror_chq  wr=0.600 (12-8-0) err=0 [0.87s/g] stats={'planned': 901, 'fired': 30, 'bail': 0, 'errors': 0}
  mirror_chq  wr=0.700 (14-6-0) err=0 [1.01s/g] stats={'planned': 1084, 'fired': 47, 'bail': 0, 'errors': 0}
  mirror_chq  wr=0.550 (11-8-1) err=0 [1.02s/g] stats={'planned': 1106, 'fired': 43, 'bail': 0, 'errors': 0}
  mirror_chq  wr=0.400 (8-12-0) err=0 [1.01s/g] stats={'planned': 1083, 'fired': 33, 'bail': 0, 'errors': 0}
  mirror_chq  wr=0.600 (12-8-0) err=0 [0.80s/g] stats={'planned': 897, 'fired': 36, 'bail': 0, 'errors': 0}
  mirror_chq  wr=0.550 (11-9-0) err=0 [0.92s/g] stats={'planned': 1028, 'fired': 53, 'bail': 0, 'errors': 0}
  mirror_chq  wr=0.650 (13-7-0) err=0 [1.15s/g] stats={'planned': 1156, 'fired': 34, 'bail': 0, 'errors': 0}
  mirror_chq  wr=0.500 (10-10-0) err=0 [0.86s/g] stats={'planned': 949, 'fired': 37, 'bail': 0, 'errors': 0}
  mirror_chq  wr=0.400 (8-10-2) err=0 [1.05s/g] stats={'planned': 1129, 'fired': 30, 'bail': 0, 'errors': 0}
