  dragapult   wr=0.300 (6-14-0) err=0 [0.54s/g] stats={'planned': 645, 'fired': 16, 'bail': 0, 'errors': 0}
  dragapult   wr=0.200 (4-16-0) err=0 [0.63s/g] stats={'planned': 714, 'fired': 31, 'bail': 0, 'errors': 0}
  dragapult   wr=0.150 (3-17-0) err=0 [0.49s/g] stats={'planned': 614, 'fired': 31, 'bail': 0, 'errors': 0}
  dragapult   wr=0.200 (4-16-0) err=0 [0.54s/g] stats={'planned': 677, 'fired': 17, 'bail': 0, 'errors': 0}
  dragapult   wr=0.150 (3-17-0) err=0 [0.57s/g] stats={'planned': 700, 'fired': 27, 'bail': 0, 'errors': 0}
  dragapult   wr=0.300 (6-14-0) err=0 [0.54s/g] stats={'planned': 647, 'fired': 19, 'bail': 0, 'errors': 0}
  dragapult   wr=0.250 (5-15-0) err=0 [0.51s/g] stats={'planned': 637, 'fired': 26, 'bail': 0, 'errors': 0}
  dragapult   wr=0.250 (5-15-0) err=0 [0.62s/g] stats={'planned': 707, 'fired': 23, 'bail': 0, 'errors': 0}
  dragapult   wr=0.200 (4-16-0) err=0 [0.67s/g] stats={'planned': 756, 'fired': 38, 'bail': 0, 'errors': 0}
  dragapult   wr=0.200 (4-16-0) err=0 [0.49s/g] stats={'planned': 630, 'fired': 15, 'bail': 0, 'errors': 0}
