  archaludon  wr=0.300 (6-14-0) err=0 [1.23s/g] stats={'planned': 1135, 'fired': 66, 'bail': 0, 'errors': 0}
  archaludon  wr=0.150 (3-17-0) err=0 [1.08s/g] stats={'planned': 1017, 'fired': 48, 'bail': 0, 'errors': 0}
  archaludon  wr=0.250 (5-15-0) err=0 [0.94s/g] stats={'planned': 970, 'fired': 43, 'bail': 0, 'errors': 0}
  archaludon  wr=0.250 (5-15-0) err=0 [1.02s/g] stats={'planned': 1052, 'fired': 51, 'bail': 0, 'errors': 0}
  archaludon  wr=0.100 (2-18-0) err=0 [1.17s/g] stats={'planned': 1071, 'fired': 55, 'bail': 0, 'errors': 0}
  archaludon  wr=0.150 (3-17-0) err=0 [1.25s/g] stats={'planned': 1232, 'fired': 49, 'bail': 0, 'errors': 0}
  archaludon  wr=0.150 (3-17-0) err=0 [1.05s/g] stats={'planned': 1059, 'fired': 44, 'bail': 0, 'errors': 0}
  archaludon  wr=0.150 (3-17-0) err=0 [1.07s/g] stats={'planned': 1053, 'fired': 57, 'bail': 0, 'errors': 0}
  archaludon  wr=0.250 (5-15-0) err=0 [0.97s/g] stats={'planned': 977, 'fired': 67, 'bail': 0, 'errors': 0}
  archaludon  wr=0.200 (4-16-0) err=0 [1.06s/g] stats={'planned': 1050, 'fired': 52, 'bail': 0, 'errors': 0}
