  crustle     wr=0.450 (9-11-0) err=0 [6.20s/g] stats={'checked': 832, 'fired': 86, 'errors': 0}
  crustle     wr=0.900 (18-2-0) err=0 [4.06s/g] stats={'checked': 681, 'fired': 62, 'errors': 0}
  crustle     wr=0.700 (14-6-0) err=0 [5.68s/g] stats={'checked': 792, 'fired': 74, 'errors': 0}
  crustle     wr=0.700 (14-6-0) err=0 [4.61s/g] stats={'checked': 681, 'fired': 74, 'errors': 0}
  crustle     wr=0.750 (15-5-0) err=0 [5.54s/g] stats={'checked': 743, 'fired': 87, 'errors': 0}
  crustle     wr=0.650 (13-7-0) err=0 [5.73s/g] stats={'checked': 803, 'fired': 81, 'errors': 0}
  crustle     wr=0.750 (15-5-0) err=0 [6.64s/g] stats={'checked': 876, 'fired': 86, 'errors': 0}
  crustle     wr=0.750 (15-5-0) err=0 [5.92s/g] stats={'checked': 850, 'fired': 82, 'errors': 0}
  crustle     wr=0.650 (13-7-0) err=0 [6.92s/g] stats={'checked': 984, 'fired': 102, 'errors': 0}
  crustle     wr=0.700 (14-6-0) err=0 [5.74s/g] stats={'checked': 844, 'fired': 87, 'errors': 0}
