  archaludon  wr=0.150 (3-17-0) err=0 [16.05s/g] stats={'checked': 1310, 'fired': 185, 'errors': 0}
  archaludon  wr=0.150 (3-17-0) err=0 [13.85s/g] stats={'checked': 1163, 'fired': 195, 'errors': 0}
  archaludon  wr=0.150 (3-17-0) err=0 [13.29s/g] stats={'checked': 1181, 'fired': 194, 'errors': 0}
  archaludon  wr=0.300 (6-14-0) err=0 [11.85s/g] stats={'checked': 1037, 'fired': 152, 'errors': 0}
  archaludon  wr=0.150 (3-17-0) err=0 [15.00s/g] stats={'checked': 1181, 'fired': 190, 'errors': 0}
  archaludon  wr=0.150 (3-17-0) err=0 [12.91s/g] stats={'checked': 1109, 'fired': 111, 'errors': 0}
  archaludon  wr=0.150 (3-17-0) err=0 [16.38s/g] stats={'checked': 1275, 'fired': 204, 'errors': 0}
  archaludon  wr=0.300 (6-14-0) err=0 [13.82s/g] stats={'checked': 1165, 'fired': 173, 'errors': 0}
  archaludon  wr=0.300 (6-14-0) err=0 [15.72s/g] stats={'checked': 1337, 'fired': 225, 'errors': 0}
  archaludon  wr=0.100 (2-18-0) err=0 [12.91s/g] stats={'checked': 1125, 'fired': 138, 'errors': 0}
