  ex_lucario  wr=0.700 (14-6-0) err=0 [7.46s/g] stats={'checked': 753, 'fired': 75, 'errors': 0}
  ex_lucario  wr=0.850 (17-3-0) err=0 [9.06s/g] stats={'checked': 844, 'fired': 87, 'errors': 0}
  ex_lucario  wr=0.800 (16-4-0) err=0 [8.51s/g] stats={'checked': 880, 'fired': 110, 'errors': 0}
  ex_lucario  wr=0.800 (16-4-0) err=0 [7.92s/g] stats={'checked': 853, 'fired': 73, 'errors': 0}
  ex_lucario  wr=0.750 (15-5-0) err=0 [10.04s/g] stats={'checked': 922, 'fired': 105, 'errors': 0}
  ex_lucario  wr=0.850 (17-3-0) err=0 [9.06s/g] stats={'checked': 802, 'fired': 51, 'errors': 0}
  ex_lucario  wr=0.900 (18-2-0) err=0 [9.05s/g] stats={'checked': 805, 'fired': 101, 'errors': 0}
  ex_lucario  wr=0.850 (17-3-0) err=0 [11.32s/g] stats={'checked': 875, 'fired': 96, 'errors': 0}
  ex_lucario  wr=0.950 (19-1-0) err=0 [12.10s/g] stats={'checked': 945, 'fired': 128, 'errors': 0}
  ex_lucario  wr=0.850 (17-3-0) err=0 [9.02s/g] stats={'checked': 777, 'fired': 85, 'errors': 0}
