  dragapult   wr=0.050 (1-19-0) err=0 [6.50s/g] stats={'checked': 614, 'fired': 60, 'errors': 0}
  dragapult   wr=0.150 (3-17-0) err=0 [5.38s/g] stats={'checked': 579, 'fired': 39, 'errors': 0}
  dragapult   wr=0.300 (6-14-0) err=0 [7.57s/g] stats={'checked': 781, 'fired': 76, 'errors': 0}
  dragapult   wr=0.250 (5-15-0) err=0 [8.64s/g] stats={'checked': 856, 'fired': 59, 'errors': 0}
  dragapult   wr=0.150 (3-17-0) err=0 [7.20s/g] stats={'checked': 744, 'fired': 49, 'errors': 0}
  dragapult   wr=0.100 (2-18-0) err=0 [9.52s/g] stats={'checked': 757, 'fired': 48, 'errors': 0}
  dragapult   wr=0.100 (2-18-0) err=0 [6.80s/g] stats={'checked': 652, 'fired': 42, 'errors': 0}
  dragapult   wr=0.350 (7-13-0) err=0 [7.58s/g] stats={'checked': 726, 'fired': 42, 'errors': 0}
  dragapult   wr=0.250 (5-15-0) err=0 [8.95s/g] stats={'checked': 808, 'fired': 58, 'errors': 0}
  dragapult   wr=0.150 (3-17-0) err=0 [7.84s/g] stats={'checked': 717, 'fired': 49, 'errors': 0}
